url_produk,nama_produk,harga_produk,jumlah_terjual,rating,nama_toko,marketplace
https://www.tokopedia.com/dewisur/keripik-seblok-khas-bogor-500gram-1731547415717578341?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,keripik seblok khas bogor 500gram,30000,0,0,Petco Petshop,tokopedia
https://www.tokopedia.com/djadjasnack/kripik-pisang-koin-renyah-dan-manis-250gr-100gr-khas-bogor-1733848232964753009?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,KRIPIK PISANG KOIN RENYAH DAN MANIS 250GR-100GR KHAS BOGOR,6600,2,5,DJADJASNACK,tokopedia
https://www.tokopedia.com/de-aloevera/rengginang-mentah-khas-bogor-isi-30-keping-ketan-hitam-aac2b?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,RENGGINANG MENTAH KHAS BOGOR ISI 30 KEPING,23000,0,0,De Aloevera,tokopedia
https://www.tokopedia.com/kinar-pramestri/rengginang-khas-bogor-isi-20-hitam-merah-putih-goreng-food-pedas-1731160886468117658?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Rengginang Khas Bogor isi 20 Hitam Merah Putih Goreng Food Pedas,17000,0,0,Kinar Pramestri,tokopedia
https://www.tokopedia.com/moonlightoutdoor/kopi-liong-cap-naga-bulan-original-khas-bogor?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kopi Liong Cap Naga Bulan Original Khas Bogor,3500,100,4.9,Moonlight Outdoor,tokopedia
https://www.tokopedia.com/mega-wangi-olshop/1-kg-kerupuk-asoy-mentah-khas-kota-bogor-1733076569259672630?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,1 kg KERUPUK ASOY MENTAH KHAS KOTA BOGOR,29900,4,5,mega wangi olshop,tokopedia
https://www.tokopedia.com/doa-restu-snacks/mini-rangginang-oleh-oleh-khas-bogor-300-gram-isi-40-keping-dores-snacks-cemilan-kering-1732416883313248186?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Mini Rangginang Oleh-oleh Khas Bogor 300 gram Isi 40 Keping - DORES Snacks Cemilan Kering,17000,1,4.7,Doa Restu Snacks,tokopedia
https://www.tokopedia.com/tokocepoet/dodol-khas-bogor-ukuran-1kg-1731018387606046582?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,dodol khas bogor ukuran 1kg,45000,0,0,tokocepoet,tokopedia
https://www.tokopedia.com/kinar-pramestri/rengginang-mini-khas-bogor-isi-60-original-ketan-asli-1731160873726215322?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Rengginang Mini Khas Bogor isi 60 Original Ketan Asli,24000,1,0,Kinar Pramestri,tokopedia
https://www.tokopedia.com/amanah-collections-1/1-kg-kerupuk-asoy-khas-bogor-1730441753679791793?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,1 Kg Kerupuk Asoy Khas Bogor,30900,21,3,Amanah Collections 1,tokopedia
https://www.tokopedia.com/bstore-143/kerupuk-mentah-asoy-1-kg-khas-bogor-opak-1730952403953419878?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kerupuk Mentah Asoy 1 kg khas Bogor / opak,32000,0,0,Berkah store bogor,tokopedia
https://www.tokopedia.com/bstore-143/kerupuk-mentah-asoy-1-kg-khas-bogor-opak-1730952407584638566?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kerupuk Mentah Asoy 1 kg khas Bogor / opak,32000,0,0,Berkah store bogor,tokopedia
https://www.tokopedia.com/snack-barbar77/manisan-buah-pala-kering-250-gr-oleh-oleh-khas-bogor-1729860082874157766?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,MANISAN BUAH PALA KERING 250 gr/OLEH -OLEH KHAS BOGOR,14000,12,0,SNACK BAAR77,tokopedia
https://www.tokopedia.com/safashop/1-kg-kerupuk-asoy-khas-kota-bogor-1730432515673195581?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,1 kg kerupuk asoy khas kota bogor,30000,100,4.9,Safa'shop,tokopedia
https://www.tokopedia.com/archive-rv13-1677974450/kacang-polong-khas-bogor-1-kg-1730840453085365472?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kacang Polong Khas Bogor 1 KG,29250,500,4.6,Kautsar Punya,tokopedia
https://www.tokopedia.com/viemargallery/kue-lapis-bogor-sangkuriang-full-talas-oleh-oleh-khas-bogor-kardus-01853?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kue Lapis Bogor Sangkuriang Full Talas Oleh Oleh Khas Bogor,15000,3,5,VieMar Gallery,tokopedia
https://www.tokopedia.com/bogorsnack/bigor-kacang-bogor-premium-khas-bogor-500gram-kualitas-terjamin-cocok-dimasak-atau-dikonsumsi-langsung-1734276106116564361?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Bigor Kacang Bogor Premium Khas Bogor 500gram Kualitas Terjamin Cocok Dimasak atau Dikonsumsi Langsung,13000,50,4.1,BogorSnack,tokopedia
https://www.tokopedia.com/asv-amanah/dodol-jenang-asli-ketan-hitam-125-gram-khas-bogor-fres-legit-1732069041255908704?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Dodol/ jenang asli ketan hitam 125 gram khas bogor fres legit,12960,12,5,ASV AMANAH,tokopedia
https://www.tokopedia.com/snack-prilly/keripik-pisang-khas-bogor-1733787194318095658?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,keripik pisang khas bogor,13500,0,0,snack prilly,tokopedia
https://www.tokopedia.com/ignyacikaaaaaa/rengginang-terasi-100-ketan-asli-khas-bogor-1731260475142538633?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Rengginang terasi 100% ketan asli khas bogor,22500,0,0,Ignyacikaaaaaa,tokopedia
https://www.tokopedia.com/chotaofid/taro-chips-chocolate-khas-bogor-160gr-1732154602791601788?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,TARO CHIPS CHOCOLATE Khas Bogor  160gr,11010,0,0,ChoTaOf.id,tokopedia
https://www.tokopedia.com/berkah-store-165/kerupuk-asoy-mentah-khas-bogor-1-kg-grosir-termurah-1730975710478369887?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,kerupuk asoy mentah khas bogor 1 kg grosir termurah,32000,0,0,Berkah store 165_NEW,tokopedia
https://www.tokopedia.com/jujustore17/tape-singkong-mentega-manis-1kg-dan-2kg-khas-bogor-1733337159819364333?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,tape singkong mentega manis 1kg dan 2kg khas Bogor,18600,100,5,jujustore17,tokopedia
https://www.tokopedia.com/toko-ibu-nero/dodol-manis-ibu-nr-snack-dodol-ketan-hitam-khas-bogor-jawa-barat-1731422110284875655?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Dodol Manis IBU NR - Snack Dodol Ketan Hitam khas Bogor Jawa Barat,20000,0,0,toko ibu Nero,tokopedia
https://www.tokopedia.com/nuansa-tanaman01/oleh-oleh-khas-bogor-keripik-bayam-crispi-cripik-bayam-crispy-homemade-camilan-kripik-1730846645728478364?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Oleh Oleh Khas Bogor Keripik Bayam Crispi -Cripik Bayam Crispy Homemade Camilan Kripik,25000,0,0,NUANSA TANAMAN01,tokopedia
